utterance,expected_intent
UAE   mashiric bank from.  e& money,ATM/Branch Locator
Uae my mashiric bank from uae e& money,ATM/Branch Locator
Hi  how can i find my mashreq vantage,ATM/Branch Locator
I will share the UAE CB Acknowledgment shortly,ATM/Branch Locator
Can you please assist from where i can het deposit center,ATM/Branch Locator
Quich branch is closer the airport of dubai ?,ATM/Branch Locator
Quich branch is closer of dubai aerport,ATM/Branch Locator
Quich is the full branch closer pf dubai aerport?,ATM/Branch Locator
I want to know the bank's SQUENCE,ATM/Branch Locator
My account iban number and address where open al ain  branch  please se me,ATM/Branch Locator
What are the Mashreq bank deposit ATM in Marina Dubai ?,ATM/Branch Locator
Tell me ur brunch's addresses in Dubai,ATM/Branch Locator
"yes today, 100 widthdrawd from atm but 200 deducted",ATM/Branch Locator
"If someone need to deposite , what bank address is required",ATM/Branch Locator
Hello would like to know what bank address need to put ?,ATM/Branch Locator
Is there any deposit machine around Al quoz 3? From Al khail mall down to Oasis mall,ATM/Branch Locator
1342549682 whare I pay this I want location,ATM/Branch Locator
Can cash deposit from another Bank CCDM to Mashreq account?,ATM/Branch Locator
Which branch I can get it? I am living in hamdan street,ATM/Branch Locator
I visit branch also not yet solve the issue,ATM/Branch Locator
???? ?? ???? ???? ??????? ?????? ?? ???? ????. ATM,ATM/Branch Locator
What is my registered address in mashreq,ATM/Branch Locator
I need one masheek by my face,ATM/Branch Locator
I wants to know ATM no. Location ITM1717,ATM/Branch Locator
"Can I deposit an ADCB cheque? If yes, where? (CDM machine or branch?)",ATM/Branch Locator
???? ?????? ???? ????? ?????? ??ä?? ?? ?? ???. ????? ????: Mashreq.com/locator. ????? ???????? ??? ?????? ?????? ?????? ?????? ?? ??????? ??????? ??? ????????.,ATM/Branch Locator
From rak bank send me money but I didn't still receive the money,ATM/Branch Locator
"I have cash money i need to send by main branch of my mashreq neo bank for house making purpose in country, can i send money cash from any branch of mashreq neo in abudhabi",ATM/Branch Locator
USD cash deposite - how and where I can do it directly to my multi currency account,ATM/Branch Locator
I have a Mashreq account in USD and would like to withdraw my balance in USD not dirhams,ATM/Branch Locator
When I am opening mashreq aap run time very low,ATM/Branch Locator
"I am asking you to tell me the location of your branch near me 
??",ATM/Branch Locator
"Hello sir, good morning
I live in Bur Bubai
I would like to know location of bank branch near to me 
I am looking for the bank itself and not the ATM Machinen",ATM/Branch Locator
I need location for mashreq atm to deposit cheque in satwa ir beach road,ATM/Branch Locator
"Hi there, can I deposit cash in my Mashreq Neo account through an ATM?",ATM/Branch Locator
I desposit 1200 but its come only 1150 dirham the 50 dirham not giving details where its go,ATM/Branch Locator
How i can ise my debit card for deposit???,ATM/Branch Locator
How do I deposit a manager check onto my card?,ATM/Branch Locator
How and where can I deposite foreign currency cash?,ATM/Branch Locator
Where I can I locate ATM machine in tourist club,ATM/Branch Locator
Untill what time the Dubai inter net branch working,ATM/Branch Locator
I need official  email address of mashreq bank UAE,ATM/Branch Locator
"For my account number, what is my bank address, account number is 019010210986",ATM/Branch Locator
Bank statement with correct address,ATM/Branch Locator
I go to bank also I didn't find any one,ATM/Branch Locator
How to Cash withdrawal can assist me,ATM/Branch Locator
I'm looking for virtual branch of mashreq,ATM/Branch Locator
Branches in abu dhabi and timings,ATM/Branch Locator
No you don't get it I'm not the one who will transfer money someone will send money for me how can I get my bank information,ATM/Branch Locator
It's not useful I want to write Mashreq Bank he is sending Abu Dhabi commercial,ATM/Branch Locator
I applied for close my EMI but still I didn't get the confirmation,Cancel EMIs
I want to close my credit card. Can you help me change it to installment basis,Cancel EMIs
It is the excess available limit so you can still close the card,Cancel EMIs
I have 2 installment can I close it early,Cancel EMIs
Hi I want to close the emi and pay balance will I get discount,Cancel EMIs
"I want to inquire, How can I cancel my  installments? And if I cancel it, I will not pay the interest right?",Cancel EMIs
"I want to inquire, How can I cancel my  installments? And if I cancel it, I will not pay the interest right?",Cancel EMIs
I want to close this card monhtly payment. Will do the full payment now and clear the monthly installments. How much should i pay for closure?,Cancel EMIs
If i block my card so what to do,Cancel EMIs
I mean emi will end on which date,Cancel EMIs
I'm would like to close all the installment payment I have against my credit card,Cancel EMIs
I have three installment plans on my credit card with different reference numbers. I want to cancel all of them and pay the full remaining amount. Please share the total amount to close them.,Cancel EMIs
I have three installment plans on my credit card with different reference numbers. I want to cancel all of them and pay the full remaining amount. Please share the total amount to close them,Cancel EMIs
Yesterday I chatt Cradit card emi cancel apply but not cancel,Cancel EMIs
I want to cancel my emi cancel and make ful payment,Cancel EMIs
I need how much to pay addition to cancel EMI,Cancel EMIs
Is my request to close my EMI done???,Cancel EMIs
A request to close the EMI is made last Saturday,Cancel EMIs
And made request to CLOSE the existing EMI,Cancel EMIs
I want to cancel  for installment plan,Cancel EMIs
Please check they cancel my 9 month installment plan,Cancel EMIs
Why you cancel my 9 month installment paln,Cancel EMIs
You open installment option please close  o need previously 9 months,Cancel EMIs
Can you please close my all  installment plan,Cancel EMIs
Early settlement all my instalment,Cancel EMIs
I need to cancel my credit card application so I can apply for a loan,Cancel EMIs
I need to cancel my credit card application so I can apply for a loan,Cancel EMIs
Can you help me close my easy settlement plan emi,Cancel EMIs
"I want to close my installments, within one payment. How much I have to pay?",Cancel EMIs
Is possible to close credit card installment full amount  earlist,Cancel EMIs
"I  have outstanding6 loan emi, can pay now and also requesting to cancel the card 
Pls advise",Cancel EMIs
"How much do I need to pay to close the installment plan on my credit card and then close the card itself?

How much do I need to pay to close the installment plan on my credit card and then close the card itself?",Cancel EMIs
Please cancel my last purchase 4700 AED for which you are showing minus figure. That 4700 AED purchase request was in my own card also so everything under me. Please stop to fullfill that purchase,Cancel EMIs
"Hi,
I had made a purchase on Amazon which was converted into EMI on my credit card. Later, I returned the item and received the refund from Amazon, but the EMI is still showing as active and the amount is being charged in my statement.

Kindly raise a request to cancel the EMI and reverse the charged EMI amount.
I can share the Amazon refund confirmation or transaction reference if required.",Cancel EMIs
"Hi,
I had made a purchase on Amazon which was converted into EMI on my credit card. Later, I returned the item and received the refund from Amazon, but the EMI is still showing as active and the amount is being charged in my statement.

Kindly raise a request to cancel the EMI and reverse the charged EMI amount.
I can share the Amazon refund confirmation or transaction reference if required.",Cancel EMIs
"Hi,
I had made a purchase on Amazon which was converted into EMI on my credit card. Later, I returned the item and received the refund from Amazon, but the EMI is still showing as active and the amount is being charged in my statement.

Kindly raise a request to cancel the EMI and reverse the charged EMI amount.
I can share the Amazon refund confirmation or transaction reference if required.",Cancel EMIs
"I have converted my transaction to easy EMI, the same transaction is cancelled and amount refunded to my this credit card account 
Now I want to cancel easy EMI",Cancel EMIs
Sir I'm wrong emi 8200.72 this amount already return my card pls cancel this,Cancel EMIs
If i cencel my installment plan then how much i will pay,Cancel EMIs
I need to stop one of the transactions from getting converted to EMI,Cancel EMIs
How i will close my active installment plan,Cancel EMIs
How I will close the installment plan,Cancel EMIs
"Hi good evening, i just want to ask how if i want to close my installment plan what is the procedure",Cancel EMIs
i want to close my credit card before that i want to cancel the easy monthly installment,Cancel EMIs
I have an installment plan of monthly 625 aed. What if I cancel it after 6 months and settle it by paying the whole amount,Cancel EMIs
I have an installment plan of monthly 625 aed. What if I cancel it after 6 months and settle it by paying the whole amount,Cancel EMIs
Requesting you to please finish my emi,Cancel EMIs
"I have received an email from mashreq that i have requested for the easy payment plan for the current outstanding limit of 1017 aed which was not initiated by me.
I didn't raise any request to convert my current outstanding amount to emi. Please cancel it",Cancel EMIs
I need to know what is the total amount due so that i can pay it and close the card,Cancel EMIs
I wanted to close the card so how much should i pay to settle all outstanding amounts?,Cancel EMIs
How can I activate agsin my card it was already active,Card Activation
I have already received my card. Its delivered today itself in the morning. Its not getting activated,Card Activation
I have activated my card but its not showing in the app,Card Activation
How to activate international transaction with card,Card Activation
"Hi, I want to know the reason why I cant activate a card",Card Activation
I need to active my card...i already put the pin..but its not working,Card Activation
I need to active my card...i already put the pin..but its not working,Card Activation
I just activated my credit card but it's not in the system,Card Activation
What problem why can not activate my card,Card Activation
Please activate my debit card for use & enable wallet token services for Apple Pay.,Card Activation
I am activate my atm card but an error coming what a problem,Card Activation
How do I activate the card and account?,Card Activation
I'm trying to activate my card but it's not working. Is there a problem?,Card Activation
I'm trying to activate my card but it's not working. Is there a problem?,Card Activation
I have a card from. 6 months i did not activate it till now,Card Activation
"Hello
I have a card that is not being activated",Card Activation
I need to activate my card it shows an error while i activate,Card Activation
I want to activated my card I keep receiving a error message,Card Activation
Many time i will try to activated my debit card..  But i canoy,Card Activation
"Dear Customer Support Team,
I am writing to report an urgent issue with the activation of my new Debit Card.
I have attempted activation multiple times through your mobile application but keep receiving an error: ”We couldn't complete your card activation. Apologies, there was an error.” I have also been unable to reach your 24/7 helpline and the Virtual Assistant in the app is experiencing technical issues.
Please investigate this failure immediately and provide the necessary steps to activate my card.",Card Activation
Why did my card didn't Activate?,Card Activation
I received my mashreq card and i am trying to activate it now but i can't,Card Activation
I am trying to activate card but the app says i don't have any thought i have the card,Card Activation
Why I'm unable to activate my card,Card Activation
Still not active my  card less payment  please help,Card Activation
Because I cannot activate that card,Card Activation
"Give me any solution for my card, activate",Card Activation
When can I will able to activate the card and account,Card Activation
We will not complete your card activation now call to customer care why,Card Activation
Sir why i didnot activated my card,Card Activation
I have tried so many times but my debit card is not activating i have tried in mobile vanking app but no use i check in the atm machine but no use kindly solve my problem and activate my debit card,Card Activation
Can u activate ths card num 2723 showing now pending activation,Card Activation
Ths card can u activate him now showing pending activation,Card Activation
How to activate this card if you are unable to activate? Neither from this app iss activating?,Card Activation
I need help regarding card activated,Card Activation
"Hi, my Mashreq Neo debit card is already active, but it's not showing in my Neo app under ”Cards.” Could you please help link or refresh it to my account?",Card Activation
My Mashreq Neo debit card is active but not showing in my app. Please link it to my Neo account,Card Activation
"We couldn't complete your card activation.

Apologies, there was an erro?.

Need to talk?

Call us +97144244444

&gt;

Back to Overview

Please Try Again",Card Activation
"We couldn't complete your card activation.

Apologies, there was an erro?.

Need to talk?

Call us +97144244444

&gt;

Back to Overview

Please Try Again",Card Activation
I am trying to activate my debit card but showing error,Card Activation
I have set the pin of my debit card in atm machine but still my debit card is not activated,Card Activation
"Hello,
When I try to activate my card, it does not work. Could you please tell me why?
Thank you.",Card Activation
I activated my debit card but cannot see it on the app,Card Activation
I applied card but it is not showing in my profile and i urgently want to activate it,Card Activation
"Now also try there is say
couldn't active your card",Card Activation
i still now try to active debit card but there is not active why?,Card Activation
what is the technical issues at the moment.? whay my card  activation not complete?,Card Activation
"I have another card #*#CREDIT/DEBITCARD-mhdjyni6#*#
How to activate it",Card Activation
While activating my debit card it's not activated because of some issues. I need that reason,Card Activation
What issues you are facing? Why my account and card is not activated? I need reason,Card Activation
